WORD,TOTAL SCORE,UNIQUE SCORE
clang,6862,6862
aping,6859,6859
forty,6857,6857
evade,9865,6856
hefty,6855,6855
frond,6852,6852
agora,9200,6852
niece,9859,6850
madly,6844,6844
fluke,6841,6841
incur,6840,6840
creep,9847,6838
crepe,9847,6838
count,6838,6838
axiom,6837,6837
hymen,6837,6837
error,10654,6834
croup,6833,6833
drift,6829,6829
river,8739,6829
revel,9832,6823
lever,9832,6823
breed,9824,6815
circa,7778,6814
local,8399,6813
titan,8395,6810
horny,6810,6810
taint,8395,6810
cavil,6808,6808
tract,8392,6807
skill,8393,6807
carat,9155,6807
tulip,6807,6807
natal,9152,6804
apart,9146,6798
drown,6796,6796
bench,6787,6787
hotly,6786,6786
forth,6785,6785
dusky,6785,6785
froth,6785,6785
dodge,7965,6784
chord,6784,6784
tangy,6783,6783
annex,8066,6781
clank,6779,6779
greed,9788,6779
pushy,6777,6777
begun,6777,6777
gourd,6774,6774
stiff,7332,6771
plank,6770,6770
brawn,6763,6763
mirth,6744,6744
prong,6744,6744
juice,6743,6743
fleet,9750,6741
swoon,8653,6738
fruit,6737,6737
flout,6736,6736
logic,6736,6736
cloud,6735,6735
alloy,8321,6735
loyal,8321,6735
could,6735,6735
wagon,6732,6732
rally,8316,6730
throw,6729,6729
worth,6729,6729
ratty,8314,6729
glint,6727,6727
creme,9735,6726
geese,12739,6721
mount,6717,6717
swill,8302,6716
badly,6716,6716
fleck,6716,6716
twist,8300,6715
newer,9718,6709
renew,9718,6709
hydro,6706,6706
graph,6706,6706
lanky,6701,6701
swash,9733,6700
frank,6700,6700
awash,9048,6700
pique,6698,6698
equip,6698,6698
cheer,9706,6697
clamp,6696,6696
tenth,8278,6693
gouge,7371,6692
alarm,9035,6687
blond,6682,6682
arrow,8588,6678
mossy,9710,6677
budge,6673,6673
debug,6673,6673
kebab,7383,6668
quail,6668,6668
patch,6666,6666
mushy,6665,6665
candy,6664,6664
lupus,7752,6663
defer,9670,6661
freed,9670,6661
teddy,7842,6661
girly,6653,6653
dingo,6652,6652
doing,6652,6652
limbo,6651,6651
merry,8558,6648
trick,6647,6647
grind,6647,6647
exert,9652,6643
thank,6628,6628
vaunt,6625,6625
ivory,6621,6621
amply,6618,6618
birth,6616,6616
flint,6609,6609
tawny,6609,6609
weigh,6599,6599
yacht,6597,6597
gaffe,7158,6597
growl,6595,6595
sully,8180,6594
droll,8178,6592
drool,8507,6592
swung,6591,6591
savvy,6903,6585
brunt,6584,6584
burnt,6584,6584
caulk,6583,6583
album,6581,6581
girth,6580,6580
right,6580,6580
crown,6579,6579
wench,6577,6577
humor,6571,6571
built,6567,6567
briar,8475,6565
rabbi,7280,6565
genie,9574,6565
drink,6564,6564
undue,7653,6564
taboo,8478,6563
abbot,7278,6563
notch,6563,6563
porch,6558,6558
match,6554,6554
foamy,6553,6553
bossy,9582,6549
group,6548,6548
grunt,6548,6548
gamut,6544,6544
whisk,6540,6540
bushy,6537,6537
lofty,6533,6533
guilt,6531,6531
blank,6530,6530
visit,8120,6528
sushi,9561,6528
nerve,9531,6522
slush,9555,6522
never,9531,6522
berry,8430,6520
piece,9529,6520
fudge,6519,6519
toxin,6516,6516
laugh,6516,6516
tunic,6515,6515
handy,6514,6514
soggy,7192,6513
canon,7797,6512
eerie,12529,6511
input,6506,6506
bosom,8421,6506
dwarf,6505,6505
tutor,8084,6499
spook,8414,6499
trout,8084,6499
motif,6496,6496
shuck,6496,6496
bleed,9500,6491
lilac,8076,6490
iliac,8082,6490
jerky,6490,6490
heave,9498,6489
attic,8074,6489
gooey,8404,6489
cacti,7453,6489
tacit,8074,6489
bigot,6486,6486
doubt,6485,6485
squib,6482,6482
creek,9488,6479
ember,9486,6477
kneel,9485,6476
crowd,6475,6475
scoff,7034,6473
sniff,7032,6471
joint,6466,6466
trunk,6465,6465
spoof,8379,6464
awake,8806,6458
ledge,9464,6455
musky,6447,6447
cycle,7409,6445
koala,8793,6445
month,6442,6442
merge,9450,6441
morph,6437,6437
unity,6437,6437
petty,8020,6435
curly,6435,6435
annoy,7719,6434
pouty,6430,6430
magic,6426,6426
batch,6426,6426
pound,6425,6425
husky,6418,6418
vigor,6414,6414
lucid,6412,6412
friar,8321,6411
moldy,6411,6411
offal,6971,6410
aloof,8325,6410
afoot,8324,6409
swoop,8323,6408
whirl,6407,6407
rough,6407,6407
tally,7991,6405
twang,6402,6402
butte,7983,6398
wordy,6397,6397
dowry,6397,6397
rowdy,6397,6397
junta,6396,6396
jaunt,6396,6396
vapid,6394,6394
opium,6394,6394
briny,6388,6388
nobly,6387,6387
trump,6382,6382
human,6379,6379
tacky,6379,6379
balmy,6378,6378
flank,6376,6376
color,8290,6375
leech,9382,6373
prior,8282,6372
touch,6367,6367
ferry,8276,6366
pivot,6365,6365
troop,8280,6365
lurch,6363,6363
needy,9370,6361
blind,6359,6359
havoc,6359,6359
vodka,6358,6358
shook,8273,6358
allow,7940,6354
missy,9387,6354
banjo,6352,6352
ozone,8259,6344
vixen,6343,6343
amaze,8683,6335
brown,6330,6330
revue,9335,6326
exile,9335,6326
wrack,6323,6323
shyly,7205,6319
forum,6318,6318
mound,6313,6313
annul,7593,6308
razor,8218,6308
chalk,6308,6308
taunt,7892,6307
skulk,6900,6304
skull,7890,6304
crypt,6300,6300
lorry,8207,6297
grown,6294,6294
wrong,6294,6294
sunny,7578,6293
donor,8206,6291
youth,6289,6289
hound,6284,6284
drama,8630,6282
dwell,7867,6281
tweed,9289,6280
thong,6278,6278
would,6276,6276
idiot,7865,6273
ditto,7858,6273
rocky,6271,6271
drill,7855,6269
stuff,6829,6268
assay,11648,6267
sassy,12333,6267
bleep,9274,6265
crimp,6264,6264
blunt,6260,6260
light,6256,6256
clown,6255,6255
motor,8168,6253
vomit,6253,6253
theme,9260,6251
godly,6247,6247
mouth,6246,6246
crazy,6243,6243
deuce,9252,6243
alibi,7833,6241
thrum,6241,6241
tibia,7832,6240
where,9247,6238
chirp,6235,6235
amass,11605,6224
watch,6216,6216
pence,9222,6213
black,6209,6209
event,9206,6197
belly,7782,6196
toxic,6195,6195
minty,6191,6191
burly,6186,6186
bingo,6186,6186
bound,6185,6185
gaudy,6183,6183
canal,8531,6183
bring,6181,6181
weave,9189,6180
frown,6176,6176
build,6163,6163
larva,8510,6162
leggy,6839,6160
elegy,9169,6160
waltz,6159,6159
truck,6144,6144
gravy,6141,6141
wharf,6138,6138
filth,6138,6138
child,6137,6137
ditch,6136,6136
penny,7420,6135
guild,6127,6127
robot,8040,6125
every,9132,6123
unfit,6112,6112
mogul,6112,6112
carry,8018,6108
cling,6106,6106
parry,8009,6099
brink,6098,6098
rigor,8006,6096
delve,9103,6094
awful,6089,6089
dimly,6088,6088
flail,7673,6087
ghoul,6083,6083
tough,6082,6082
ought,6082,6082
fatal,8428,6080
hence,9081,6072
kneed,9080,6071
comma,6913,6070
adapt,8417,6069
mania,8416,6068
churn,6062,6062
queer,9070,6061
drunk,6061,6061
flack,6055,6055
judge,6047,6047
fancy,6044,6044
coach,7005,6041
mangy,6041,6041
bylaw,6040,6040
found,6031,6031
await,8378,6030
lying,6028,6028
tying,6027,6027
augur,7115,6026
enemy,9032,6023
clink,6023,6023
prick,6017,6017
fluid,6009,6009
blown,6006,6006
skunk,6599,6003
dally,7587,6001
quark,5996,5996
birch,5995,5995
botch,5993,5993
beget,8997,5988
marry,7897,5987
fewer,8994,5985
pupal,6933,5978
flaky,5977,5977
owing,5976,5976
wound,5975,5975
floor,7887,5972
wring,5971,5971
theft,7554,5969
snuff,6529,5968
junto,5963,5963
droop,7876,5961
harry,7868,5958
thing,5955,5955
night,5955,5955
moron,7868,5953
frock,5946,5946
swish,8977,5944
award,8292,5944
banal,8282,5934
mucus,7018,5929
honor,7839,5924
champ,5924,5924
qualm,5919,5919
verge,8925,5916
wheel,8923,5914
pitch,5910,5910
grimy,5910,5910
quilt,5905,5905
again,8252,5904
aging,6583,5904
union,7166,5881
tenet,10473,5879
occur,6842,5878
think,5872,5872
imply,5862,5862
phony,5855,5855
young,5854,5854
flown,5852,5852
villa,7430,5844
avail,8192,5844
itchy,5841,5841
evoke,8847,5838
pithy,5832,5832
hussy,8855,5822
mambo,6664,5821
fence,8828,5819
crack,6782,5818
parka,8157,5809
proxy,5805,5805
fever,8807,5798
fritz,5783,5783
catty,7368,5783
skiff,6343,5782
humus,6868,5779
brick,5777,5777
block,5776,5776
apply,6730,5775
blink,5774,5774
booze,7689,5774
patty,7359,5774
cumin,5773,5773
igloo,7687,5772
druid,6953,5772
downy,5772,5772
outdo,7685,5770
grill,7353,5767
crump,5761,5761
rumor,7667,5757
ionic,7348,5756
conic,6720,5756
colon,7665,5750
embed,8757,5748
lunch,5738,5738
quell,7323,5737
pouch,5737,5737
brood,7636,5721
hatch,6525,5711
catch,6675,5711
alpha,8051,5703
fling,5703,5703
venue,8710,5701
dandy,6881,5700
climb,5700,5700
excel,8707,5698
karma,8045,5697
pixie,7287,5695
blimp,5691,5691
expel,8698,5689
krill,7270,5684
hedge,8692,5683
dough,5678,5678
width,5677,5677
nylon,6957,5672
vinyl,5667,5667
axial,8013,5665
privy,5661,5661
fjord,5656,5656
folio,7569,5654
frill,7235,5649
eject,8656,5647
inbox,5646,5646
bawdy,5635,5635
dutch,5633,5633
bevel,8637,5628
dingy,5623,5623
dying,5623,5623
flock,5622,5622
blitz,5613,5613
cabal,7961,5613
pinch,5610,5610
limit,7198,5606
clung,5603,5603
weedy,8590,5581
jelly,7156,5570
fussy,8602,5569
jetty,7154,5569
oddly,6749,5568
dolly,7154,5568
toddy,6748,5567
dryly,6449,5563
roomy,7469,5554
gypsy,6439,5553
thick,5551,5551
tepee,11567,5549
avian,7891,5543
naval,7885,5537
lynch,5535,5535
batty,7119,5534
tabby,6249,5534
idiom,7123,5531
crumb,5521,5521
humid,5519,5519
might,5513,5513
plunk,5511,5511
sissy,11577,5511
slyly,7977,5505
milky,5503,5503
beech,8511,5502
gayly,6385,5499
clack,6458,5494
canny,6768,5483
freer,10399,5480
refer,10399,5480
furor,7385,5475
going,6150,5471
filmy,5468,5468
wrung,5468,5468
cough,5461,5461
witch,5460,5460
quoth,5456,5456
windy,5449,5449
bezel,8454,5445
radar,9697,5439
melee,11456,5438
clump,5437,5437
queen,8445,5436
unify,5413,5413
rotor,9235,5410
teeth,10002,5408
truth,6983,5398
blood,7312,5397
crook,7300,5385
crock,6349,5385
cheek,8392,5383
check,6347,5383
broom,7298,5383
knoll,6968,5382
taffy,5941,5380
fatty,6965,5380
caddy,6560,5379
wedge,8383,5374
paddy,6551,5370
rigid,6954,5362
lumpy,5359,5359
coyly,6237,5351
khaki,5946,5350
groom,7262,5347
condo,7260,5345
mafia,7692,5344
polyp,6297,5342
loopy,7257,5342
proof,7256,5341
fugue,6427,5338
murky,5324,5324
pubic,5315,5315
pinky,5314,5314
lipid,6906,5314
comic,6278,5314
ninja,6599,5314
belle,9905,5310
howdy,5301,5301
blurb,6015,5300
flick,5299,5299
wacky,5299,5299
mulch,5296,5296
thump,5286,5286
fauna,7631,5283
rugby,5279,5279
hippo,6231,5276
ninth,6561,5276
photo,7184,5269
outgo,7183,5268
pagan,7615,5267
penne,9543,5249
idyll,6831,5245
dilly,6831,5245
ditty,6829,5244
flood,7158,5243
gumbo,5241,5241
quirk,5240,5240
verve,8564,5237
fight,5231,5231
cacao,8539,5227
whack,5227,5227
cocoa,8106,5227
pupil,6177,5222
worry,7126,5216
finch,5216,5216
bough,5212,5212
fungi,5206,5206
holly,6787,5201
timid,6793,5201
flung,5200,5200
knack,5789,5193
widow,5698,5193
pluck,5190,5190
jewel,8198,5189
plumb,5188,5188
wight,5175,5175
beefy,8180,5171
geeky,8179,5170
comfy,5169,5169
curvy,5167,5167
butch,5167,5167
rajah,7509,5161
winch,5160,5160
manga,7503,5155
undid,6328,5147
array,9402,5144
brook,7051,5136
gulch,5132,5132
lucky,5121,5121
flunk,5117,5117
punch,5107,5107
lobby,5817,5102
booty,7016,5101
vouch,5100,5100
tweet,9693,5099
lymph,5084,5084
whiny,5082,5082
fanny,6365,5080
golly,6652,5066
ruddy,6247,5066
forgo,6980,5065
crick,6026,5062
clock,6025,5061
bloom,6974,5059
unzip,5056,5056
quack,5050,5050
thumb,5046,5046
digit,6629,5037
pizza,5165,5030
booth,6944,5029
icily,6620,5028
plaza,7372,5024
gloom,6938,5023
gawky,5014,5014
ovoid,6921,5006
juror,6913,5003
happy,5958,5003
munch,4995,4995
picky,4993,4993
conch,5942,4978
chili,6548,4956
chill,6542,4956
hitch,5769,4955
dumpy,4954,4954
folly,6534,4948
shush,8783,4936
duchy,4934,4934
uncut,6012,4923
maxim,5765,4922
glyph,4920,4920
cabby,5628,4913
level,9508,4913
wooly,6807,4892
lowly,6478,4892
papal,8192,4889
wryly,5773,4887
hilly,6464,4878
bulky,4872,4872
bunch,4867,4867
curry,6759,4849
nutty,6430,4845
moody,6740,4825
allay,8754,4820
tatty,7989,4819
emcee,10834,4816
onion,7992,4792
pudgy,4790,4790
nymph,4783,4783
couch,5746,4782
wimpy,4781,4781
billy,6365,4779
bitty,6363,4778
llama,8711,4777
knock,5356,4760
vying,4760,4760
chunk,4748,4748
dully,6328,4742
click,5702,4738
cynic,5691,4727
cliff,5264,4703
buxom,4701,4701
hurry,6609,4699
chaff,5248,4687
livid,6269,4677
tight,6255,4670
hunky,4670,4670
thigh,5484,4670
chump,4665,4665
goody,6576,4661
dodgy,5842,4661
macaw,7008,4660
kitty,6244,4659
cinch,5619,4655
jumbo,4651,4651
pooch,6563,4648
affix,5201,4640
baggy,5307,4628
filly,6211,4625
fifty,5185,4624
aback,6971,4623
juicy,4620,4620
bongo,6509,4594
willy,6155,4569
witty,6153,4568
fifth,5113,4552
icing,6112,4520
nanny,7089,4519
pulpy,5471,4516
putty,6100,4515
woody,6402,4487
dowdy,5668,4487
jolly,6062,4476
plump,5428,4473
civil,6052,4460
myrrh,6363,4453
hutch,5266,4452
furry,6356,4446
guava,6782,4434
funky,4417,4417
daddy,6777,4415
femme,8265,4413
mucky,4378,4378
biddy,5555,4374
madam,7563,4372
cubic,5324,4360
kinky,4955,4359
motto,7843,4343
giddy,5519,4338
hobby,5045,4330
quill,5906,4320
tooth,7814,4314
known,5586,4301
quick,4294,4294
chock,5253,4289
bully,5862,4276
hippy,5202,4247
gully,5826,4240
gruff,4800,4239
cluck,5199,4235
whoop,6104,4189
vigil,5767,4175
hunch,4966,4152
queue,8249,4151
fully,5708,4122
piggy,4791,4112
mammy,5763,4077
goofy,5956,4041
foggy,4720,4041
muddy,5180,3999
dummy,4842,3999
bunny,5260,3975
chick,4930,3966
bluff,4512,3951
kappa,7202,3899
which,4689,3875
buddy,5052,3871
gamma,7061,3870
magma,7061,3870
jumpy,3862,3862
kayak,6774,3830
funny,5106,3821
twixt,5406,3821
dizzy,3929,3794
ninny,6333,3763
poppy,5666,3756
minim,6155,3720
humph,4515,3701
boozy,5566,3651
guppy,4564,3609
bobby,4946,3516
booby,6146,3516
gummy,4340,3497
puffy,4052,3491
whiff,4033,3472
chuck,4427,3463
jazzy,3593,3458
woozy,5356,3441
mimic,5834,3399
buggy,4048,3369
pygmy,4249,3363
fluff,4358,3236
mamma,7225,3191
fizzy,3309,3174
jiffy,3689,3128
vivid,5001,3091
puppy,4840,2930
civic,5430,2874
mummy,4504,2818
fuzzy,2806,2671
